当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	旧时间	新时间	
0.000000	-0.000086	0.004987	0.000000	0.000000	0.000000	0.000000025	0.000000138
0.011000	-0.000086	0.004987	0.000000	0.000000	0.000000	0.000000006	0.000000082
0.021000	-0.000086	0.004987	0.000000	0.000000	0.000000	0.000000128	0.000000017
0.030000	-0.000086	0.004987	0.000000	0.000000	0.000000	0.000000018	0.000000155
0.040000	-0.000086	0.004987	0.000000	0.000000	0.000000	0.000000019	0.000000114
0.051000	-0.000098	0.010472	0.000392	0.000413	0.001967	0.000000034	0.000000165
0.061000	-0.000098	0.010472	0.000504	0.000541	0.003121	0.000000029	0.000000250
0.070000	-0.000098	0.006981	0.000519	0.000533	0.003303	0.000000045	0.000000130
0.080000	-0.000110	0.000000	0.000467	0.000467	0.003013	0.000000038	0.000000162
0.090000	-0.000110	0.000000	0.000567	0.000840	0.003596	0.000000045	0.000000158
0.101000	-0.000196	0.000000	0.000414	0.000587	0.002634	0.000000054	0.000000131
0.110000	-0.000356	0.000000	0.000488	0.000399	0.003352	0.000000032	0.000000194
0.120000	-0.000491	0.000000	0.000560	0.000830	0.004085	0.000000044	0.000000173
0.130000	-0.000552	0.000000	0.000591	0.000583	0.004254	0.000000044	0.000000128
0.141000	-0.000577	0.000000	0.000521	0.000578	0.003940	0.000000045	0.000000163
0.150000	-0.000577	0.000000	0.000360	0.000357	0.003614	0.000000044	0.000000158
0.160000	-0.000564	0.017453	0.000216	0.000241	0.001969	0.000000045	0.000000132
0.170000	-0.000564	0.000000	0.000134	0.000143	0.001100	0.000000045	0.000000409
0.181000	-0.000564	0.000000	0.000108	0.000182	0.001075	0.000000048	0.000000190
0.190000	-0.000552	0.000000	0.000072	0.000058	0.000751	0.000000043	0.000010138
0.200000	-0.000564	0.000000	0.000085	0.000107	0.000590	0.000000056	0.000000139
0.210000	-0.000564	0.000000	0.000244	0.000050	0.001276	0.000000045	0.000000165
0.221000	-0.000564	0.004987	0.000437	0.000604	0.002941	0.000000049	0.000000176
0.231000	-0.000577	0.004987	0.000440	0.000477	0.002913	0.000000045	0.000000151
0.240000	-0.000577	0.004987	0.000424	0.000421	0.002834	0.000000045	0.000000141
0.250000	-0.000613	0.000000	0.000513	0.000615	0.003324	0.000000039	0.000000165
