当前时刻	小车位置	摆杆偏角	指标1	指标2	
0.000000	-0.000393	0.006981	0.000000	0.000000
0.011000	-0.000393	0.010472	0.000000	0.000000
0.020000	-0.000393	0.010472	0.000000	0.000000
0.030000	-0.000393	0.010472	0.000000	0.000000
0.040000	-0.000380	0.006981	0.000000	0.000000
0.050000	-0.000343	0.002909	0.014211	0.000087
0.060000	-0.000258	0.002909	0.014618	0.000066
0.070000	-0.000159	0.002909	0.007960	0.000061
0.080000	0.000049	0.002909	0.011071	0.000075
0.090000	0.000356	0.002909	0.010613	0.000095
0.100000	0.000736	0.005818	0.013453	0.000081
0.110000	0.001030	0.005818	0.017533	0.000071
0.120000	0.001337	0.017453	0.011917	0.000061
0.130000	0.001766	0.008727	0.004148	0.000048
0.140000	0.002245	0.008727	0.004834	0.000038
0.150000	0.002551	0.002909	0.002919	0.000081
0.160000	0.002699	0.017453	0.007184	0.000101
0.170000	0.002699	0.017453	0.007691	0.000111
0.180000	0.002686	0.007480	0.003988	0.000110
0.190000	0.002686	0.026180	0.018208	0.000197
0.200000	0.002686	0.026180	0.040132	0.000194
0.210000	0.002723	0.031416	0.057188	0.000222
0.221000	0.003005	0.031416	0.064557	0.000227
0.230000	0.003692	0.021817	0.072126	0.000266
0.240000	0.004575	0.027925	0.055710	0.000174
0.250000	0.005336	0.027925	0.035358	0.000140
0.261000	0.005851	0.009973	0.063258	0.000319
0.270000	0.005913	0.014544	0.061719	0.000383
0.280000	0.005704	0.014544	0.052941	0.000385
0.290000	0.005127	0.034907	0.062737	0.000523
0.300000	0.004293	0.014544	0.055408	0.000524
0.310000	0.003373	0.014544	0.010619	0.000295
0.320000	0.002650	0.026180	0.015760	0.000250
0.330000	0.001938	0.009973	0.017693	0.000213
0.340000	0.001104	0.009973	0.027989	0.000075
0.350000	0.000147	0.000000	0.025993	0.000133
0.360000	-0.000699	0.000000	0.016128	0.000161
0.370000	-0.001521	0.014544	0.001672	0.000160
0.380000	-0.002417	0.004987	0.003330	0.000143
0.390000	-0.003594	0.004987	0.005857	0.000141
0.400000	-0.004784	0.000000	0.007481	0.000067
0.410000	-0.005937	0.000000	0.001944	0.000035
0.420000	-0.007017	0.000000	0.002917	0.000002
0.430000	-0.008084	0.000000	0.013443	0.000015
0.440000	-0.008844	0.000000	0.005513	0.000018
0.450000	-0.009335	0.000000	0.004257	0.000021
0.460000	-0.009813	0.000000	0.007017	0.000027
0.471000	-0.010586	0.000000	0.008557	0.000038
0.480000	-0.011543	0.000000	0.016076	0.000049
0.490000	-0.012635	0.000000	0.012519	0.000071
0.500000	-0.013800	0.000000	0.013451	0.000101
0.511000	-0.015027	0.000000	0.017538	0.000130
0.520000	-0.016118	-0.008727	0.017900	0.000113
0.530000	-0.017308	-0.008727	0.009663	0.000089
0.540000	-0.018609	-0.008727	0.009235	0.000063
0.550000	-0.019749	-0.008727	0.010403	0.000042
0.560000	-0.020583	-0.008727	0.013887	0.000018
0.570000	-0.021013	-0.008727	0.012885	0.000025
0.580000	-0.021283	-0.020362	0.025276	0.000094
0.590000	-0.021602	-0.020362	0.005857	0.000141
0.600000	-0.022080	-0.020362	0.002982	0.000170
0.610000	-0.022485	-0.020362	0.002872	0.000184
0.620000	-0.022865	-0.017453	0.000520	0.000182
0.630000	-0.023221	-0.017453	0.018764	0.000117
0.640000	-0.023503	-0.017453	0.000467	0.000070
0.650000	-0.023662	-0.008727	0.004941	0.000038
0.660000	-0.023748	-0.008727	0.003075	0.000014
0.670000	-0.023797	-0.008727	0.004781	0.000008
0.680000	-0.023895	-0.017453	0.002087	0.000034
0.690000	-0.023920	-0.008727	0.004316	0.000028
0.700000	-0.023908	-0.008727	0.007067	0.000019
0.710000	-0.023908	-0.004987	0.003561	0.000019
