当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
0.000000	-0.000405	-0.008727	0.000000	0.000000	0.000000	0.000000
0.009000	-0.000405	-0.008727	0.000000	0.000000	0.000000	0.000000
0.020000	-0.000405	-0.004987	0.000000	0.000000	0.000000	0.000000
0.030000	-0.000405	-0.004987	0.000000	0.000000	0.000000	0.000000
0.040000	-0.000405	-0.004987	0.000000	0.000000	0.000000	0.000000
0.049000	-0.000393	-0.004987	0.020166	0.020285	0.000004	0.000013
0.060000	-0.000393	-0.004987	0.001531	0.001313	0.000020	0.000002
0.070000	-0.000380	-0.004987	0.001941	0.001758	0.000022	0.000001
0.080000	-0.000368	-0.004987	0.000963	0.000941	0.000023	0.000001
0.090000	-0.000319	-0.004987	0.002117	0.004095	0.000024	0.000001
0.100000	-0.000245	-0.004987	0.001356	0.002535	0.000024	0.000000
0.110000	-0.000147	-0.004987	0.001380	0.001693	0.000024	0.000000
0.120000	0.000012	-0.004987	0.001298	0.001172	0.000024	0.000000
0.130000	0.000221	0.000000	0.003168	0.002599	0.000016	0.000004
0.140000	0.000466	0.000000	0.000426	0.001679	0.000011	0.000007
0.150000	0.000675	-0.004987	0.000685	0.004603	0.000008	0.000008
0.160000	0.000883	0.000000	0.001322	0.002302	0.000004	0.000009
0.170000	0.001104	0.000000	0.001208	0.001354	0.000002	0.000010
0.180000	0.001337	0.000000	0.003154	0.000950	0.000010	0.000007
0.190000	0.001546	0.000000	0.001679	0.001302	0.000015	0.000005
0.200000	0.001742	0.000000	0.002356	0.002736	0.000018	0.000004
0.210000	0.001963	-0.003491	0.004636	0.000618	0.000016	0.000004
0.220000	0.002183	-0.003491	0.001855	0.000865	0.000014	0.000004
0.230000	0.002392	0.000000	0.001788	0.002357	0.000015	0.000004
0.240000	0.002588	0.000000	0.001978	0.002187	0.000015	0.000004
0.250000	0.002785	0.000000	0.002467	0.002806	0.000015	0.000004
0.259000	0.002981	0.000000	0.002714	0.002882	0.000021	0.000002
0.270000	0.003214	0.006981	0.004742	0.008156	0.000002	0.000011
0.280000	0.003422	0.006981	0.004558	0.003235	0.000012	0.000017
0.290000	0.003643	0.000000	0.000449	0.000781	0.000015	0.000018
0.299000	0.003852	0.000000	0.000851	0.001216	0.000018	0.000019
0.310000	0.004060	0.000000	0.000643	0.000981	0.000020	0.000020
0.320000	0.004232	0.000000	0.007884	0.004826	0.000001	0.000010
0.330000	0.004404	0.000000	0.009841	0.010930	0.000014	0.000004
0.340000	0.004563	0.000000	0.006845	0.004243	0.000017	0.000003
0.350000	0.004723	0.010472	0.011849	0.015696	0.000021	0.000020
0.360000	0.004882	0.010472	0.013636	0.003890	0.000046	0.000031
0.370000	0.005029	0.011636	0.010939	0.008970	0.000069	0.000041
0.380000	0.005164	0.004987	0.009658	0.009010	0.000068	0.000041
0.390000	0.005299	0.004987	0.007426	0.007840	0.000068	0.000041
0.400000	0.005385	0.000000	0.002463	0.001741	0.000043	0.000030
0.410000	0.005459	0.000000	0.008996	0.009211	0.000027	0.000023
0.420000	0.005495	0.000000	0.013152	0.008978	0.000009	0.000015
0.430000	0.005520	0.000000	0.011719	0.009530	0.000013	0.000017
0.440000	0.005545	0.000000	0.015486	0.016222	0.000016	0.000018
0.450000	0.005569	0.000000	0.014737	0.013877	0.000001	0.000012
0.460000	0.005581	0.002909	0.003793	0.003943	0.000008	0.000008
0.470000	0.005618	0.002909	0.001318	0.001299	0.000015	0.000005
0.480000	0.005655	0.002909	0.000800	0.000795	0.000018	0.000003
0.490000	0.005704	0.002909	0.001330	0.001854	0.000020	0.000002
0.500000	0.005753	0.002909	0.001201	0.002211	0.000022	0.000001
0.509000	0.005814	0.002909	0.000434	0.000288	0.000023	0.000001
0.520000	0.005876	0.002909	0.001642	0.001459	0.000023	0.000001
0.530000	0.005925	0.002909	0.000203	0.000817	0.000024	0.000001
0.540000	0.005986	0.004363	0.001343	0.000808	0.000023	0.000001
0.549000	0.006023	0.010472	0.005370	0.009682	0.000004	0.000013
0.560000	0.006072	0.010472	0.000977	0.012919	0.000023	0.000021
0.570000	0.006109	0.010472	0.005818	0.003532	0.000035	0.000026
0.580000	0.006121	0.013963	0.003257	0.009523	0.000062	0.000038
0.590000	0.006133	0.013963	0.013349	0.016102	0.000079	0.000045
0.600000	0.006133	0.020362	0.000677	0.007414	0.000114	0.000060
0.610000	0.006121	0.020362	0.014045	0.010925	0.000138	0.000071
0.620000	0.006121	0.004363	0.009707	0.003415	0.000159	0.000078
0.630000	0.006109	0.010472	0.012120	0.012389	0.000133	0.000067
0.640000	0.006047	0.010472	0.002460	0.003056	0.000117	0.000059
0.650000	0.005900	0.002909	0.004282	0.004184	0.000083	0.000044
0.660000	0.005643	0.000000	0.013014	0.003729	0.000077	0.000043
0.670000	0.005311	0.000000	0.009817	0.011794	0.000065	0.000040
0.680000	0.004907	0.000000	0.008964	0.010742	0.000075	0.000046
0.690000	0.004539	0.009973	0.016664	0.022659	0.000093	0.000053
0.700000	0.004171	0.009973	0.012553	0.010104	0.000081	0.000046
0.710000	0.003803	0.002909	0.009022	0.009970	0.000047	0.000031
0.720000	0.003410	0.002909	0.012954	0.014934	0.000027	0.000021
0.730000	0.003054	0.008727	0.015912	0.019061	0.000029	0.000019
0.740000	0.002686	0.000000	0.009590	0.011243	0.000018	0.000016
0.750000	0.002343	0.000000	0.005382	0.004374	0.000007	0.000013
0.759000	0.001999	0.014544	0.003208	0.006780	0.000076	0.000040
0.770000	0.001644	0.000000	0.001827	0.002262	0.000082	0.000044
0.780000	0.001325	0.000000	0.000365	0.002093	0.000073	0.000041
0.790000	0.000994	0.026180	0.003642	0.014640	0.000336	0.000149
0.799000	0.000650	0.000000	0.004653	0.012927	0.000349	0.000154
0.810000	0.000258	0.000000	0.000791	0.004591	0.000288	0.000131
0.820000	-0.000123	0.020362	0.010322	0.034637	0.000410	0.000180
0.830000	-0.000527	0.000000	0.022312	0.028719	0.000425	0.000186
0.840000	-0.000969	0.000000	0.026119	0.020970	0.000166	0.000080
0.850000	-0.001484	0.021817	0.027790	0.018079	0.000302	0.000135
0.860000	-0.001987	0.021817	0.019707	0.012775	0.000401	0.000175
0.870000	-0.002527	0.004987	0.009891	0.007723	0.000279	0.000125
0.880000	-0.003079	0.000000	0.005469	0.005184	0.000290	0.000131
0.890000	-0.003692	0.000000	0.012175	0.010695	0.000296	0.000134
0.900000	-0.004281	0.004363	0.012272	0.012301	0.000141	0.000072
0.910000	-0.004894	0.021817	0.019330	0.013867	0.000182	0.000086
0.920000	-0.005557	0.021817	0.004343	0.015089	0.000286	0.000127
0.930000	-0.006317	0.009973	0.003876	0.002417	0.000256	0.000114
0.940000	-0.007041	0.009973	0.001223	0.002956	0.000238	0.000105
