当前时刻	小车位置	摆杆偏角	残差范数	
0.000000	-0.000552	-0.013963	0.013974
0.010000	-0.000552	-0.017453	0.014951
0.021000	-0.000552	-0.017453	0.012150
0.031000	-0.000552	-0.017453	0.009780
0.040000	-0.000552	-0.017453	0.007831
0.050000	-0.000552	-0.013963	0.002802
0.060000	-0.000503	-0.013963	0.002237
0.071000	-0.000380	-0.017453	0.005338
0.081000	-0.000159	-0.012467	0.000635
0.090000	0.000172	-0.012467	0.000351
0.100000	0.000589	-0.013963	0.001648
0.111000	0.001116	-0.004987	0.007233
0.121000	0.001656	-0.004987	0.005486
0.130000	0.002233	0.000000	0.008919
0.140000	0.002809	0.000000	0.006685
0.151000	0.003447	-0.008727	0.003976
0.161000	0.004023	0.000000	0.004771
0.170000	0.004600	0.000000	0.003282
0.180000	0.005177	0.000000	0.002061
0.191000	0.005814	0.000000	0.001124
0.201000	0.006366	0.000000	0.000476
0.210000	0.006931	0.000000	0.000525
0.220000	0.007470	0.000000	0.000876
0.231000	0.008035	0.000000	0.001180
0.241000	0.008513	0.014544	0.013181
0.250000	0.008955	0.000000	0.004129
0.260000	0.009396	0.000000	0.003869
0.271000	0.009862	0.004987	0.001431
0.281000	0.010279	0.004987	0.000864
0.290000	0.010684	0.010472	0.005897
0.300000	0.011089	0.000000	0.005907
0.310000	0.011482	0.000000	0.005140
0.321000	0.011899	0.021817	0.017400
0.331000	0.012267	0.004987	0.002689
0.340000	0.012586	0.004987	0.002481
0.350000	0.012905	0.031998	0.024787
0.361000	0.013199	0.031998	0.020217
0.371000	0.013457	0.014544	0.001158
0.380000	0.013653	0.000000	0.015817
0.390000	0.013788	0.000000	0.013129
0.401000	0.013874	0.031998	0.021343
0.411000	0.013910	0.008727	0.005479
0.420000	0.013910	0.008727	0.004381
0.430000	0.013910	0.004987	0.007099
0.441000	0.013910	0.004987	0.005512
0.451000	0.013898	0.004987	0.004133
0.460000	0.013898	0.004987	0.002969
0.470000	0.013886	0.004987	0.002012
0.481000	0.013849	0.000000	0.006234
0.491000	0.013800	0.004987	0.000277
0.500000	0.013751	0.004987	0.000606
0.510000	0.013690	0.004987	0.000820
0.521000	0.013641	0.008727	0.004636
0.531000	0.013604	0.008727	0.004010
0.540000	0.013567	0.014544	0.009241
0.550000	0.013542	0.021817	0.014952
0.560000	0.013506	0.021817	0.012306
0.571000	0.013457	0.017453	0.005697
0.581000	0.013371	0.017453	0.004633
0.590000	0.013248	0.017453	0.003839
0.600000	0.013052	0.008727	0.005476
0.611000	0.012757	0.008727	0.004295
0.621000	0.012438	0.014544	0.002663
0.630000	0.012095	0.027925	0.016013
0.640000	0.011690	0.027925	0.013613
0.651000	0.011187	0.017453	0.001089
