当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
0.000000	-0.000589	0.000000	0.000000	0.000000	0.000000	0.000000
0.009000	-0.000589	0.000000	0.000000	0.000000	0.000000	0.000000
0.019000	-0.000589	0.000000	0.000000	0.000000	0.000000	0.000000
0.029000	-0.000589	0.000000	0.000000	0.000000	0.000000	0.000000
0.040000	-0.000589	0.000000	0.000000	0.000000	0.000000	0.000000
0.049000	-0.000589	0.000000	0.000009	0.000008	0.000025	0.000000
0.059000	-0.000589	0.000000	0.000001	0.000000	0.000025	0.000000
0.069000	-0.000589	0.000000	0.000000	0.000001	0.000025	0.000000
0.080000	-0.000589	0.000000	0.000001	0.000001	0.000025	0.000000
0.089000	-0.000589	0.000000	0.000003	0.000007	0.000025	0.000000
0.099000	-0.000589	0.000000	0.000004	0.000006	0.000025	0.000000
0.109000	-0.000589	0.000000	0.000003	0.000004	0.000025	0.000000
0.120000	-0.000589	0.000000	0.000003	0.000000	0.000025	0.000000
0.130000	-0.000589	0.000000	0.000001	0.000002	0.000025	0.000000
0.139000	-0.000589	0.000000	0.000000	0.000001	0.000025	0.000000
0.149000	-0.000589	0.000000	0.000002	0.000004	0.000025	0.000000
0.160000	-0.000589	0.000000	0.000001	0.000000	0.000025	0.000000
0.170000	-0.000589	0.000000	0.000000	0.000000	0.000025	0.000000
0.179000	-0.000589	0.000000	0.000001	0.000001	0.000026	0.000000
0.189000	-0.000589	0.000000	0.000001	0.000000	0.000026	0.000000
0.200000	-0.000589	0.000000	0.000000	0.000001	0.000026	0.000000
0.210000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.219000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.229000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.239000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.250000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.259000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.269000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.279000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.290000	-0.000601	0.000000	0.000000	0.000000	0.000026	0.000000
0.299000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.309000	-0.000601	0.000000	0.000000	0.000000	0.000026	0.000000
0.319000	-0.000589	0.000000	0.000000	0.000000	0.000026	0.000000
0.330000	-0.000601	0.000000	0.000000	0.000000	0.000026	0.000000
0.339000	-0.000601	0.003491	0.000011	0.000010	0.000020	0.000002
0.349000	-0.000601	0.004363	0.000005	0.000000	0.000013	0.000005
0.359000	-0.000601	0.004363	0.000001	0.000014	0.000009	0.000007
0.370000	-0.000601	-0.003491	0.000001	0.000003	0.000005	0.000013
0.380000	-0.000601	0.004987	0.000017	0.000007	0.000013	0.000016
0.389000	-0.000626	0.004987	0.000005	0.000001	0.000012	0.000016
0.399000	-0.000650	0.000000	0.000002	0.000007	0.000008	0.000014
0.410000	-0.000687	0.000000	0.000006	0.000006	0.000005	0.000013
0.420000	-0.000748	0.000000	0.000011	0.000006	0.000008	0.000008
0.429000	-0.000834	0.000000	0.000026	0.000023	0.000015	0.000005
0.439000	-0.000908	0.000000	0.000019	0.000019	0.000020	0.000003
0.450000	-0.000994	-0.003491	0.000013	0.000007	0.000014	0.000005
0.460000	-0.001067	0.000000	0.000001	0.000001	0.000016	0.000004
0.469000	-0.001141	0.000000	0.000003	0.000003	0.000017	0.000004
0.479000	-0.001202	0.000000	0.000004	0.000003	0.000017	0.000004
0.489000	-0.001263	0.000000	0.000005	0.000006	0.000017	0.000004
0.500000	-0.001313	0.000000	0.000001	0.000002	0.000025	0.000000
0.509000	-0.001362	0.000000	0.000001	0.000001	0.000025	0.000000
0.519000	-0.001411	0.000000	0.000002	0.000002	0.000025	0.000000
0.529000	-0.001447	0.000000	0.000000	0.000002	0.000025	0.000000
