当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	deta1	deta2	估计误差	
0.000000	-0.000527	0.039270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.009000	-0.000527	0.039270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.020000	-0.000527	0.039270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.030000	-0.000540	0.039270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.040000	-0.000564	0.039270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.049000	-0.000724	0.039270	0.000344	0.000349	0.001232	0.000000	0.000000	0.000000
0.059000	-0.001141	0.039270	0.000065	0.000057	0.000805	0.000000	0.000000	0.000000
0.070000	-0.001766	0.039270	0.000081	0.000074	0.000528	0.000000	0.000000	0.000000
0.080000	-0.002478	0.034907	0.000037	0.000037	0.000328	0.000000	0.000000	0.000000
0.089000	-0.003361	0.034907	0.000064	0.000099	0.000200	0.000000	0.000000	0.000000
0.099000	-0.004391	0.030543	0.000024	0.000034	0.000110	0.000000	0.000000	0.000000
0.110000	-0.005704	0.030543	0.000018	0.000020	0.000046	0.000000	0.000000	0.000000
0.120000	-0.007041	0.017453	0.000039	0.000107	0.000062	0.000000	0.000000	0.000000
0.129000	-0.008452	0.017453	0.000048	0.000045	0.000080	0.000000	0.000000	0.000000
0.139000	-0.009948	0.017453	0.000025	0.000016	0.000082	0.000000	0.000000	0.000000
0.150000	-0.011715	0.006981	0.000022	0.000095	0.000157	0.000000	0.000000	0.000000
0.160000	-0.013309	0.011636	0.000016	0.000013	0.000165	0.000000	0.000000	0.000000
0.169000	-0.014965	0.011636	0.000012	0.000005	0.000106	0.000000	0.000000	0.000000
0.179000	-0.016658	0.010472	0.000025	0.000023	0.000079	0.000000	0.000000	0.000000
0.190000	-0.018474	0.010472	0.000015	0.000016	0.000072	0.000000	0.000000	0.000000
0.200000	-0.020117	0.010472	0.000010	0.000014	0.000001	0.000000	0.000000	0.000000
0.210000	-0.021761	0.000000	0.000032	0.000008	0.000015	0.000000	0.000000	0.000000
0.219000	-0.023405	0.000000	0.000017	0.000005	0.000021	0.000000	0.000000	0.000000
0.230000	-0.025171	-0.003491	0.000014	0.000005	0.000033	0.000000	0.000000	0.000000
0.240000	-0.026815	-0.004987	0.000016	0.000010	0.000038	0.000000	0.000000	0.000000
0.250000	-0.028410	-0.004987	0.000012	0.000008	0.000035	0.000000	0.000000	0.000000
0.259000	-0.029906	-0.008727	0.000014	0.000011	0.000019	0.000000	0.000000	0.000000
0.270000	-0.031611	-0.004987	0.000002	0.000006	0.000013	0.000000	0.000000	0.000000
0.280000	-0.033095	-0.004987	0.000003	0.000015	0.000003	0.000000	0.000000	0.000000
0.290000	-0.034518	-0.008727	0.000006	0.000005	0.000007	0.000000	0.000000	0.000000
0.299000	-0.035941	-0.008727	0.000012	0.000012	0.000010	0.000000	0.000000	0.000000
0.309000	-0.037315	-0.008727	0.000008	0.000007	0.000016	0.000000	0.000000	0.000000
0.320000	-0.038763	-0.012467	0.000009	0.000004	0.000018	0.000000	0.000000	0.000000
0.330000	-0.040026	-0.021332	0.000048	0.000067	0.000017	0.000000	0.000000	0.000000
0.339000	-0.041326	-0.021332	0.000067	0.000027	0.000038	0.000000	0.000000	0.000000
0.349000	-0.042590	-0.021332	0.000059	0.000053	0.000048	0.000000	0.000000	0.000000
0.360000	-0.043866	-0.021332	0.000057	0.000070	0.000050	0.000000	0.000000	0.000000
0.370000	-0.044982	-0.014544	0.000051	0.000047	0.000062	0.000000	0.000000	0.000000
0.379000	-0.046098	-0.034907	0.000069	0.000032	0.000136	0.000000	0.000000	0.000000
0.389000	-0.047165	-0.034907	0.000010	0.000028	0.000186	0.000000	0.000000	0.000000
0.400000	-0.048245	-0.034907	0.000018	0.000004	0.000218	0.000000	0.000000	0.000000
0.410000	-0.049116	-0.034907	0.000063	0.000064	0.000239	0.000000	0.000000	0.000000
0.419000	-0.049925	-0.034907	0.000082	0.000063	0.000241	0.000000	0.000000	0.000000
0.429000	-0.050698	-0.034907	0.000021	0.000012	0.000135	0.000000	0.000000	0.000000
0.440000	-0.051483	-0.034907	0.000072	0.000075	0.000070	0.000000	0.000000	0.000000
0.450000	-0.052084	-0.034907	0.000068	0.000064	0.000031	0.000000	0.000000	0.000000
0.460000	-0.052563	-0.034907	0.000035	0.000034	0.000009	0.000000	0.000000	0.000000
0.469000	-0.052918	-0.034907	0.000010	0.000010	0.000003	0.000000	0.000000	0.000000
0.480000	-0.053201	-0.031416	0.000007	0.000008	0.000010	0.000000	0.000000	0.000000
0.490000	-0.053397	-0.023998	0.000034	0.000020	0.000018	0.000000	0.000000	0.000000
0.500000	-0.053519	-0.023998	0.000022	0.000002	0.000033	0.000000	0.000000	0.000000
0.509000	-0.053556	-0.034907	0.000047	0.000044	0.000049	0.000000	0.000000	0.000000
0.520000	-0.053556	-0.017453	0.000086	0.000097	0.000111	0.000000	0.000000	0.000000
0.530000	-0.053556	-0.017453	0.000088	0.000032	0.000147	0.000000	0.000000	0.000000
0.540000	-0.053544	-0.014960	0.000049	0.000075	0.000152	0.000000	0.000000	0.000000
0.549000	-0.053544	-0.012467	0.000047	0.000103	0.000171	0.000000	0.000000	0.000000
0.559000	-0.053544	-0.012467	0.000023	0.000069	0.000172	0.000000	0.000000	0.000000
0.570000	-0.053532	-0.012467	0.000021	0.000015	0.000118	0.000000	0.000000	0.000000
0.580000	-0.053519	-0.017453	0.000017	0.000029	0.000084	0.000000	0.000000	0.000000
0.589000	-0.053483	-0.017453	0.000012	0.000011	0.000049	0.000000	0.000000	0.000000
0.599000	-0.053483	-0.012467	0.000014	0.000011	0.000014	0.000000	0.000000	0.000000
0.610000	-0.053483	-0.012467	0.000009	0.000007	0.000005	0.000000	0.000000	0.000000
0.620000	-0.053483	-0.012467	0.000012	0.000013	0.000014	0.000000	0.000000	0.000000
0.629000	-0.053483	-0.004987	0.000013	0.000025	0.000011	0.000000	0.000000	0.000000
0.639000	-0.053483	-0.004987	0.000005	0.000020	0.000023	0.000000	0.000000	0.000000
0.650000	-0.053483	-0.012467	0.000008	0.000010	0.000025	0.000000	0.000000	0.000000
0.660000	-0.053483	-0.012467	0.000012	0.000002	0.000029	0.000000	0.000000	0.000000
0.669000	-0.053483	-0.012467	0.000008	0.000010	0.000032	0.000000	0.000000	0.000000
0.679000	-0.053483	-0.004987	0.000012	0.000007	0.000017	0.000000	0.000000	0.000000
0.690000	-0.053495	-0.004987	0.000029	0.000040	0.000008	0.000000	0.000000	0.000000
0.700000	-0.053495	-0.004987	0.000025	0.000021	0.000007	0.000000	0.000000	0.000000
0.710000	-0.053495	-0.004987	0.000014	0.000011	0.000005	0.000000	0.000000	0.000000
0.719000	-0.053507	-0.004987	0.000015	0.000008	0.000002	0.000000	0.000000	0.000000
0.730000	-0.053519	-0.012467	0.000004	0.000009	0.000009	0.000000	0.000000	0.000000
0.740000	-0.053544	-0.008727	0.000009	0.000008	0.000003	0.000000	0.000000	0.000000
0.750000	-0.053581	-0.008727	0.000017	0.000018	0.000000	0.000000	0.000000	0.000000
0.759000	-0.053618	-0.008727	0.000011	0.000012	0.000002	0.000000	0.000000	0.000000
0.770000	-0.053716	-0.003491	0.000005	0.000007	0.000005	0.000000	0.000000	0.000000
0.780000	-0.053826	-0.003491	0.000002	0.000007	0.000009	0.000000	0.000000	0.000000
0.790000	-0.053924	-0.003491	0.000001	0.000006	0.000006	0.000000	0.000000	0.000000
0.799000	-0.054010	-0.010908	0.000004	0.000026	0.000006	0.000000	0.000000	0.000000
0.809000	-0.054096	-0.010908	0.000010	0.000005	0.000015	0.000000	0.000000	0.000000
0.820000	-0.054182	-0.004987	0.000003	0.000010	0.000009	0.000000	0.000000	0.000000
0.830000	-0.054268	-0.004987	0.000006	0.000012	0.000005	0.000000	0.000000	0.000000
0.839000	-0.054341	-0.008727	0.000006	0.000008	0.000004	0.000000	0.000000	0.000000
0.849000	-0.054415	-0.008727	0.000008	0.000011	0.000008	0.000000	0.000000	0.000000
0.860000	-0.054476	-0.008727	0.000009	0.000008	0.000016	0.000000	0.000000	0.000000
0.870000	-0.054538	-0.004987	0.000005	0.000004	0.000015	0.000000	0.000000	0.000000
0.879000	-0.054599	-0.004987	0.000012	0.000012	0.000015	0.000000	0.000000	0.000000
0.889000	-0.054636	-0.004987	0.000013	0.000012	0.000016	0.000000	0.000000	0.000000
0.900000	-0.054660	-0.008727	0.000007	0.000006	0.000015	0.000000	0.000000	0.000000
0.910000	-0.054697	-0.004987	0.000003	0.000005	0.000015	0.000000	0.000000	0.000000
0.919000	-0.054722	-0.004987	0.000003	0.000006	0.000017	0.000000	0.000000	0.000000
0.929000	-0.054746	-0.012467	0.000010	0.000036	0.000000	0.000000	0.000000	0.000000
0.940000	-0.054758	-0.012467	0.000012	0.000034	0.000011	0.000000	0.000000	0.000000
0.950000	-0.054758	-0.012467	0.000013	0.000035	0.000017	0.000000	0.000000	0.000000
0.960000	-0.054771	-0.012467	0.000003	0.000021	0.000022	0.000000	0.000000	0.000000
0.969000	-0.054783	-0.012467	0.000003	0.000005	0.000024	0.000000	0.000000	0.000000
0.980000	-0.054771	-0.008727	0.000007	0.000004	0.000007	0.000000	0.000000	0.000000
0.990000	-0.054771	-0.012467	0.000013	0.000027	0.000003	0.000000	0.000000	0.000000
1.000000	-0.054771	-0.012467	0.006386	0.001583	3.390607	3.390632	0.000637	6.330824
1.009000	-0.054758	-0.008727	0.005663	0.000564	5.159119	5.159145	3.407740	24.828855
1.020000	-0.054697	-0.008727	0.007617	0.009998	5.726389	5.726415	13.713413	56.632361
1.030000	-0.054501	-0.008727	0.013180	0.023805	7.994097	5.726415	13.713413	56.632361
1.040000	-0.054219	-0.004987	0.018548	0.009115	9.376438	5.726415	13.713413	56.632361
1.049000	-0.054133	-0.004987	0.012148	0.008847	6.763691	5.726415	13.713413	56.632361
1.059000	-0.054648	-0.004987	0.016909	0.018796	5.391007	5.726415	13.713413	56.632361
1.070000	-0.056795	-0.012467	0.016772	0.019593	5.002999	5.726415	13.713413	56.632361
1.080000	-0.060671	-0.017453	0.011565	0.011107	2.803942	5.726415	13.713413	56.632361
1.089000	-0.066387	-0.017453	0.006334	0.006930	1.442465	5.726415	13.713413	56.632361
1.099000	-0.073710	-0.012467	0.006471	0.006499	0.670878	5.726415	13.713413	56.632361
1.110000	-0.083131	-0.012467	0.002751	0.002627	0.281964	5.726415	13.713413	56.632361
1.120000	-0.092761	-0.038397	0.001202	0.001623	0.115626	5.726415	13.713413	56.632361
1.129000	-0.102905	-0.069813	0.000491	0.000248	0.064347	5.726415	13.713413	56.632361
1.139000	-0.113283	-0.069813	0.000962	0.001232	0.061175	5.726415	13.713413	56.632361
1.150000	-0.124396	-0.117186	0.000794	0.000259	0.071637	5.726415	13.713413	56.632361
1.160000	-0.134320	-0.165806	0.000884	0.000298	0.079965	5.726415	13.713413	56.632361
1.169000	-0.143716	-0.165806	0.000821	0.000240	0.077892	5.726415	13.713413	56.632361
1.179000	-0.152340	-0.214426	0.000941	0.000893	0.069346	5.726415	13.713413	56.632361
1.190000	-0.160730	-0.261799	0.000764	0.000938	0.059089	5.726415	13.713413	56.632361
1.200000	-0.167097	-0.261799	0.000711	0.000959	0.046400	5.726415	13.713413	56.632361
1.210000	-0.172433	-0.279253	0.001592	0.001509	0.033839	5.726415	13.713413	56.632361
1.219000	-0.176579	-0.279253	0.001271	0.001226	0.024229	5.726415	13.713413	56.632361
1.230000	-0.179694	-0.349066	0.000506	0.000543	0.019615	5.726415	13.713413	56.632361
1.240000	-0.181191	-0.366519	0.000854	0.000979	0.016048	5.726415	13.713413	56.632361
1.250000	-0.181485	-0.366519	0.000818	0.000535	0.014475	5.726415	13.713413	56.632361
1.259000	-0.180725	-0.383972	0.000475	0.000478	0.014632	5.726415	13.713413	56.632361
1.270000	-0.178455	-0.410152	0.000255	0.000178	0.017436	5.726415	13.713413	56.632361
1.280000	-0.175009	-0.410152	0.000033	0.000022	0.016284	5.726415	13.713413	56.632361
1.290000	-0.170237	-0.418879	0.000028	0.000168	0.015485	5.726415	13.713413	56.632361
1.299000	-0.164312	-0.427606	0.000263	0.000861	0.016190	5.726415	13.713413	56.632361
1.309000	-0.157026	-0.427606	0.000037	0.000308	0.016072	5.726415	13.713413	56.632361
1.320000	-0.147556	-0.427606	0.000283	0.000245	0.014450	5.726415	13.713413	56.632361
1.330000	-0.137779	-0.427606	0.000497	0.000568	0.013687	5.726415	13.713413	56.632361
1.339000	-0.126850	-0.427606	0.000749	0.000420	0.012885	5.726415	13.713413	56.632361
1.349000	-0.114902	-0.415000	0.000643	0.000687	0.011260	5.726415	13.713413	56.632361
1.360000	-0.100685	-0.415000	0.000859	0.000854	0.010313	5.726415	13.713413	56.632361
1.370000	-0.086431	-0.392699	0.001041	0.001038	0.008775	5.726415	13.713413	56.632361
1.379000	-0.071098	-0.364026	0.000589	0.000679	0.006731	5.726415	13.713413	56.632361
1.389000	-0.055212	-0.364026	0.000340	0.000113	0.005079	5.726415	13.713413	56.632361
