当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	deta1	deta2	估计误差	inc11u	inc12u	inc2u	
0.000000	-0.000503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	-0.000503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.021000	-0.000503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.031000	-0.000503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.040000	-0.000503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.050000	-0.000503	0.000000	0.000007	0.000007	0.000025	0.000001	0.000028	0.000000	0.000007	0.000007	0.000025
0.061000	-0.000503	0.000000	0.000001	0.000000	0.000025	0.000000	0.000035	0.000000	0.000001	0.000000	0.000025
0.071000	-0.000503	0.000000	0.000000	0.000001	0.000025	0.000000	0.000039	0.000000	0.000000	0.000001	0.000025
0.080000	-0.000503	0.000000	0.000001	0.000001	0.000025	0.000000	0.000039	0.000000	0.000001	0.000001	0.000025
0.090000	-0.000503	0.000000	0.000002	0.000006	0.000025	0.000000	0.000037	0.000000	0.000002	0.000006	0.000025
0.101000	-0.000503	0.000000	0.000003	0.000005	0.000025	0.000001	0.000032	0.000000	0.000003	0.000005	0.000025
0.111000	-0.000503	0.000000	0.000003	0.000003	0.000025	0.000001	0.000026	0.000000	0.000003	0.000003	0.000025
0.120000	-0.000503	0.000000	0.000002	0.000000	0.000025	0.000000	0.000020	0.000000	0.000002	0.000000	0.000025
0.130000	-0.000503	0.000000	0.000001	0.000001	0.000025	0.000000	0.000014	0.000000	0.000001	0.000001	0.000025
0.141000	-0.000503	0.000000	0.000000	0.000001	0.000025	0.000000	0.000010	0.000000	0.000000	0.000001	0.000025
0.151000	-0.000503	0.000000	0.000002	0.000003	0.000025	0.000000	0.000006	0.000000	0.000002	0.000003	0.000025
0.160000	-0.000503	0.000000	0.000000	0.000000	0.000025	0.000000	0.000004	0.000000	0.000000	0.000000	0.000025
0.170000	-0.000503	0.000000	0.000000	0.000000	0.000026	0.000000	0.000002	0.000000	0.000000	0.000000	0.000026
0.181000	-0.000503	0.000000	0.000001	0.000001	0.000026	0.000000	0.000001	0.000000	0.000001	0.000001	0.000026
0.191000	-0.000503	0.000000	0.000000	0.000000	0.000026	0.000000	0.000001	0.000000	0.000000	0.000000	0.000026
